"Kode","Stednavn","region","big_category_code","big_category","small_category_code","small_category","west_of_Helsingør","decLatitude","decLongitude","Modern_Country","Modern_name","Province","Remark","Zoom"
"000000","Unknown",,"15","Unknown","37","Unindentifiable Ports","false","0.00000000","0.00000000","Unknown","Unknown","Unknown",,"11"
"000001",,,"15","Unknown","37","Unindentifiable Ports","false","0.00000000","0.00000000","Unknown","Torebeck","Unknown","Komt in vele vormen voor was omg. Malmö","11"
"000002",,,"15","Unknown","37","Unindentifiable Ports","false","0.00000000","0.00000000","Unknown","De Meer","Unknown",,"11"
"000003",,,"15","Unknown","37","Unindentifiable Ports","false","0.00000000","0.00000000","Unknown","vrij","Unknown",,"11"
"000004",,,"15","Unknown","37","Unindentifiable Ports","false","0.00000000","0.00000000","Unknown","vrij","Unknown",,"11"
"000005",,,"15","Unknown","37","Unindentifiable Ports","false","0.00000000","0.00000000","Unknown","Granspans","Unknown","diverse varianten: Schotland?","11"
"000006",,,"15","Unknown","37","Unindentifiable Ports","false","0.00000000","0.00000000","Unknown",,"Unknown",,"11"
"000007",,,"15","Unknown","37","Unindentifiable Ports","false","0.00000000","0.00000000","Unknown",,"Unknown",,"11"
"000008",,,"15","Unknown","37","Unindentifiable Ports","false","0.00000000","0.00000000","Unknown","Lemburg","Unknown","Lembricht etc.","11"
"000009",,,"15","Unknown","37","Unindentifiable Ports","false","0.00000000","0.00000000","Unknown",,"Unknown",,"11"
"001AAR","Aars","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.80388800","9.51416600","Denmark","Aars","North Jutland",,"11"
"001ALS","Ålsgårde","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.07555500","12.53972200","Denmark","Ålsgårde","Capital Region",,"11"
"001DRO","Dronningmølle","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.09472200","12.38500000","Denmark","Dronningmølle","Capital Region",,"11"
"001ESP","Espergærde","Danmark","1","The Baltic","1","Denmark","false","56.00000000","12.56666600","Denmark","Espergærde","Capital Region",,"11"
"001GIL","Gilleleje","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.12194400","12.31055500","Denmark","Gilleleje","Capital Region",,"11"
"001GKA","Gamle Kalkbrænderi","Danmark","1","The Baltic","1","Denmark","false","55.70460000","12.59010000","Denmark","Østerbro","Capital Region","See: http://vaeggen.copenhagen.dk/media/13693","11"
"001KOE","København","Danmark","1","The Baltic","1","Denmark","false","55.67750000","12.57083300","Denmark","København","Capital Region",,"11"
"001MUL","Mullerup","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","55.49166600","11.20000000","Denmark","Mullerup","Zealand",,"11"
"001OLS","Ølstad","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","55.92100000","12.06440000","Denmark","Ølsted","Capital Region",,"11"
"001SNE","Snekkersten","Danmark","1","The Baltic","1","Denmark","false","56.00888800","12.58583300","Denmark","Snekkersten","Capital Region",,"11"
"001SYD","Sydstranden","Danmark","1","The Baltic","1","Denmark","false","55.58416600","12.64888800","Denmark","Sydstranden","Capital Region",,"11"
"010BJO","Bjørnø","Danmark","1","The Baltic","1","Denmark","false","55.06305500","10.24805500","Denmark","Bjørnø","South Denmark",,"11"
"010BOD","Boderne","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.07916600","12.53444400","Denmark","Boderne","Capital Region",,"11"
"010LIM","Limfjorden","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.91666600","9.16666600","Denmark","Limfjorden","North Jutland",,"11"
"011DRA","Dragør","Danmark","1","The Baltic","1","Denmark","false","55.59444400","12.66611100","Denmark","Dragør","Capital Region",,"11"
"011DRE","Dragsminde","Danmark","1","The Baltic","1","Denmark","false","54.67833300","11.30861100","Denmark","Dragsminde","Zealand",,"11"
"011SAL","Saltholm","Danmark","1","The Baltic","1","Denmark","false","55.63944400","12.76416600","Denmark","Saltholm","Capital Region",,"11"
"011TOL","Tollerød","Danmark","1","The Baltic","1","Denmark","false","55.35166600","12.04611100","Denmark","Tollerød","Zealand",,"11"
"012FAX","Faxe","Danmark","1","The Baltic","1","Denmark","false","55.25090000","12.11210000","Denmark","Fakse","Zealand",,"11"
"012GRA","Grådyb","Danmark","2","North Sea (German/Danish coast)","1","Denmark","true","55.47166600","8.34611100","Denmark","Grådyb","South Denmark",,"11"
"012HAS","Hastrup","Danmark","1","The Baltic","1","Denmark","false","55.44130000","12.16930000","Denmark","Hastrup","Zealand",,"11"
"012KOG","Køge","Danmark","1","The Baltic","1","Denmark","false","55.45777700","12.18194400","Denmark","Køge","Zealand",,"11"
"012STM","Strandmøllen","Danmark","1","The Baltic","1","Denmark","false","55.80638800","12.58166600","Denmark","Strandmøllen","Capital Region",,"11"
"013FRE","Fredensborg","Danmark","1","The Baltic","1","Denmark","false","55.96547400","12.38452300","Denmark","Fredensborg","Capital Region",,"11"
"013HEA","Helsingør","Danmark","1","The Baltic","1","Denmark","false","56.03333300","12.61666600","Denmark","Helsingør","Capital Region",,"11"
"013HOR","Hornbeek","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.09130000","12.45710000","Denmark","Hornbæk","Capital Region",,"11"
"013HUN","Hundested","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","55.97000000","11.84700000","Denmark","Hundested","Capital Region",,"11"
"013LYN","Lynæs","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","55.94784400","11.85477500","Denmark","Lynæs","Capital Region",,"11"
"013TIS","Tisvilde","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.06155000","12.08774400","Denmark","Tisvilde","Capital Region",,"11"
"013WEJ","Wejby","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.06388800","12.14166600","Denmark","Vejby (DK)","Capital Region",,"11"
"014TRO","Troense","Danmark","1","The Baltic","1","Denmark","false","55.03305500","10.64361100","Denmark","Troense","South Denmark",,"11"
"015AMA","Amager","Danmark","1","The Baltic","1","Denmark","false","55.61666600","12.61666600","Denmark","Amager","Capital Region",,"11"
"015BAG","Baagø","Danmark","1","The Baltic","1","Denmark","false","55.30000000","9.81666600","Denmark","Bågø","South Denmark",,"11"
"015GAB","Gaabense","Danmark","1","The Baltic","1","Denmark","false","54.94250000","11.87361100","Denmark","Gåbense","Zealand",,"11"
"015GUL","Guldborg","Danmark","1","The Baltic","1","Denmark","false","54.86666600","11.75000000","Denmark","Guldborg","Zealand",,"11"
"015HOJ","Højby","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","55.91138800","11.59750000","Denmark","Højby","Zealand",,"11"
"015HUM","Humlebæk","Danmark","1","The Baltic","1","Denmark","false","55.96166600","12.53388800","Denmark","Humlebæk","Capital Region",,"11"
"015KAS","Kastrup","Danmark","1","The Baltic","1","Denmark","false","55.60957900","12.60649900","Denmark","Kastrup","Capital Region",,"11"
"015KLI","Klitmøller","Danmark","2","North Sea (German/Danish coast)","1","Denmark","true","57.04055500","8.49138800","Denmark","Klitmøller","North Jutland",,"11"
"015KRH","Kristianshavn","Danmark","1","The Baltic","1","Denmark","false","55.68333300","12.58333300","Denmark","Christianshavn","Capital Region",,"11"
"015MON","Møn","Danmark","1","The Baltic","1","Denmark","false","55.00000000","12.33333300","Denmark","Møn","Zealand",,"11"
